1,El Arco,0,1,30200,1
1,Venustiano Carranza Centro,0,1,30200,1
1,El Calvario,0,1,30200,1
1,Del Carmen,0,1,30200,1
1,Senor del Pozo,0,1,30200,1
1,OTRA COLONIA,0,1,30200,1
1,Bugambilia,0,1,30202,1
1,Guadalupe,0,1,30202,1
1,OTRA COLONIA,0,1,30202,1
1,San Pedro,0,1,30203,1
1,Santa Rosa,0,1,30203,1
1,San Francisco (El Calvito),0,1,30203,1
1,OTRA COLONIA,0,1,30203,1
1,San Sebastian,0,1,30204,1
1,OTRA COLONIA,0,1,30204,1
1,Guadalupe Victoria,0,1,30206,1
1,OTRA COLONIA,0,1,30206,1
1,La Grandeza Rio Blanco,0,1,30207,1
1,OTRA COLONIA,0,1,30207,1
1,Matamoros,0,1,30209,1
1,OTRA COLONIA,0,1,30209,1
1,San Vicente Agua Bendita,0,1,30210,1
1,Obrera Jose Maria Martinez,0,1,30210,1
1,Santa Maria la Paz,0,1,30210,1
1,Santa Maria la Alta,0,1,30210,1
1,Nuevo Soyatitan,0,1,30210,1
1,San Francisco Pujiltic,0,1,30210,1
1,OTRA COLONIA,0,1,30210,1
1,Francisco Hernandez Hernandez,0,1,30214,1
1,OTRA COLONIA,0,1,30214,1
1,20 de Noviembre,0,1,30215,1
1,Nuevo Antonio,0,1,30215,1
1,OTRA COLONIA,0,1,30215,1
1,San Luis,0,1,30216,1
1,OTRA COLONIA,0,1,30216,1
1,El Puerto,0,1,30217,1
1,OTRA COLONIA,0,1,30217,1
1,Aguacatenango,0,1,30218,1
1,OTRA COLONIA,0,1,30218,1
1,Belisario Dominguez,0,1,30220,1
1,Ricardo Flores Magon,0,1,30220,1
1,Santa Cruz del Ojo de Agua,0,1,30220,1
1,OTRA COLONIA,0,1,30220,1
1,Sagrado Corazon,0,1,30223,1
1,Vicente Guerrero,0,1,30223,1
1,OTRA COLONIA,0,1,30223,1
1,San Rafael,0,1,30224,1
1,Miguel Hidalgo,0,1,30224,1
1,OTRA COLONIA,0,1,30224,1
1,Paraiso del Grijalva,0,1,30225,1
1,Plan de los angeles,0,1,30225,1
1,Vega del Paso,0,1,30225,1
1,Presidente Echeverria (Laja Tendida),0,1,30225,1
1,OTRA COLONIA,0,1,30225,1
1,La Isla del Tesoro,0,1,30227,1
1,Ojos Azules,0,1,30227,1
1,Segundo Galecio Narcia,0,1,30227,1
1,Crustete,0,1,30227,1
1,OTRA COLONIA,0,1,30227,1
1,Soyatitan,0,1,30315,1
1,OTRA COLONIA,0,1,30315,1
